id,property_name,city,state,zip,unit_count,broker,source,current_property_address,hellodata_status,street_address,confirmed,classic_units_remaining,market_cap_rate,regulatory_risk
b01b623b-6d1c-4942-8823-9ec4c44e368d,Fairways of Naperville,Naperville,IL,,210,,manual,"970 Fairway Drive, Naperville, IL, 60563",pending,"970 Fairway Drive, Naperville, IL, 60563",,,,
b2514b95-663e-4d11-b7e9-55b6cce90842,Gardens of Denton Apartments,Denton,TX,,384,IPA,manual,"401 Ame Drive, Denton, TX, 76207",pending,"401 Ame Drive, Denton, TX, 76207",,,,
b17b032f-f884-4596-b95b-29dd7542b911,Grove Park Apartments,Plano,TX,,188,Colliers,manual,,pending,,,,,
52cb2340-76fa-49fa-8e09-6d0f1cb6821f,independence park apartments,Durham,NC,27704,312,Berkadia,manual,215 William Penn Plaza,pending,215 William Penn Plaza,,,,
f7e55509-40f7-402a-a189-c09bd80efeff,K Square,Chicago,IL,60614,261,,manual,"1749 North Wells Street, Chicago, IL, 60614",failed,"1749 North Wells Street, Chicago, IL, 60614",,,,
30c94dda-914d-4318-9f47-0a52f075a689,Larrabee Place at Parkside of Old Town,Chicago,IL,,111,W&D,manual,545 West Division Street,fetched,,,,,
77af4e38-15a1-44dd-ba9c-d70f28c3c671,Meadows at Sunbury,Sunbury,OH,43074,120,,manual,"340 Frontier Way, Sunbury, OH, 43074",pending,"340 Frontier Way, Sunbury, OH, 43074",,,,
a8da77b8-1dcb-409f-a816-f3fbe28361f5,Mill23 At Coughlin Crossing,Delaware,OH,43015,178,,manual,"44 Kooken Place, Delaware, OH, 43015",pending,"44 Kooken Place, Delaware, OH, 43015",,,,
e34a6216-7f13-43ec-8737-616718e12d26,North Town Village,Chicago,IL,,116,W&D,manual,1311 North Halsted Street,fetched,,,,,
44bfcd47-2b25-42a5-8aa6-e71c4a6d1af6,Orion ParkView,Mount Prospect,IL,,477,JLL,manual,,pending,,,,,
ef25ec1a-4dcf-49df-ae4a-470143620406,Overlook 157,Asheville,NC,,141,None,manual,,pending,,,,,
3a607465-01b8-4714-9037-6ec52066a6c8,Quail Hill and Manchester Apartments of Fu,Fuquay Varina,NC,,64,CBRE,manual,"100-600 Quail Hill Street, Fuquay Varina, NC, 27526",fetched,,,,,
a4aae0e8-378d-4bef-9044-012062642520,Quail Ridge Apartments,Naperville,IL,,152,,manual,1669 Ishnala Drive,fetched,,,,,
73e744d3-c123-49e5-b337-50a514a76ef3,Skye at North Lamar,Austin,TX,,130,Northmarq,manual,,pending,,,,,
